,question,entities,MuHeQA_Keywords,FLERT_NER,BERT_NER,RoBERTA_NER
780,what type of object is 25049 christofnorn,['25049 Christofnorn'],['25049 christofnorn'],[],[],['christofnorn']
781,What country created the film the monastery of sendomir,['The Monastery of Sendomir'],"['monastery', 'sendomir']",['sendomir'],[],['sendomir']
782,what is the gender of cordelia chase,['Cordelia Chase'],['cordelia chase'],[],[],['cordelia chase']
783,what is gaby dunn's in the news industry?,['Gaby Dunn'],['gaby dunn'],[],[],['gaby dunn']
784,Where was lars krogh gerson born?,['Lars Krogh Gerson'],['lars krogh gerson'],['lars krogh gerson'],[],['lars krogh gerson']
785,What country made the film dahmer vs. gacy,['Dahmer Vs. Gacy'],['dahmer vs. gacy'],['dahmer vs. gacy'],[],['dahmer vs. gacy']
786,What label is hed pe signed to,['Hed PE'],['hed pe'],[],[],['hed pe']
787,Which netflix genre does 21 (2008 film) fall under,['21'],['netflix genre'],[],[],"['netflix', '21']"
788,why did bugs henderson die,['Bugs Henderson'],['bugs henderson'],['bugs henderson'],[],['bugs henderson']
789,who wrote the film faithless,['Faithless'],['film faithless'],[],[],['faithless']
790,what is the gender of bradley pierce,['Bradley Pierce'],['bradley pierce'],['bradley pierce'],[],['bradley pierce']
791,What film genre is twilight considered to be?,['Twilight'],['twilight'],[],[],[]
792,where city in minnesota was catharine mackinnon  born,['Catharine MacKinnon'],"['minnesota', 'catharine mackinnon']","['minnesota', 'catharine mackinnon']",[],"['minnesota', 'catharine mackinnon']"
793,where did the show all about eve orginate from,['All About Eve'],['all about eve'],[],[],['eve orginate']
794,Who is Erwin Planck's parent?,['Erwin Planck'],['erwin planck'],['Erwin Planck'],['Erwin Planck'],['Erwin Planck']
795,What is gy waldron 's profession?,['Gy Waldron'],['gy waldron'],[],[],['gy waldron']
796,What was alexander hamilton's gender?,['Alexander Hamilton'],['alexander hamilton'],['alexander hamilton'],[],['alexander hamilton']
797,who did the music for the film  the stratton story,['The Stratton Story'],['the stratton story'],[],[],['the stratton story']
798,what film was david grisman the music contributor,['David Grisman'],['david grisman'],['david grisman'],[],['david grisman']
799,who was the first NSW female Minister of Education died from cancer,['cancer'],['nsw'],['NSW'],"['NSW', 'Education']",['NSW']
800,Who is a man who plays the position defender in soccer?,['defender'],"['man', 'soccer']",[],[],[]
801,who was born in gaza city,['Gaza City'],['gaza city'],[],[],['gaza']
802,What artist released the album small graces,['Small Graces'],['album small graces'],[],[],[]
803,who was born in cowgate?,['Cowgate'],['cowgate'],[],[],['cowgate']
804,"which war did edward a. devore, jr. fight in","['Edward A. DeVore, Jr.']","['edward a. devore, jr']",['edward a. devore'],[],"['edward a. devore', '.']"
805,What is the gender of walter gerth?,['Walter Gerth'],['walter gerth'],['walter gerth'],[],['walter gerth']
806,what kind of music does doomtree make?,['Doomtree'],['doomtree'],['doomtree'],[],['doomtree']
807,where did harold hardman pass away,['Harold Hardman'],['harold hardman'],['harold hardman'],[],['harold hardman']
808,who produced the movie the tourist,['The Tourist'],['the tourist'],[],[],['the tourist']
809,What position does denis shcherbak play,['Denis Shcherbak'],['denis shcherbak'],['denis shcherbak'],['den'],['denis shcherbak']
810,which country is ido mosseri from ,['Ido Mosseri'],['ido mosseri'],['ido mosseri'],[],['ido mosseri']
811,Where is ghulam azam from?,['Ghulam Azam'],['ghulam azam'],['ghulam azam'],['g'],['ghulam azam']
812,What is hooshang amirahmadi's gender?,['Hooshang Amirahmadi'],['hooshang amirahmadi'],['hooshang amirahmadi'],['hm'],['hooshang amirahmadi']
813,which major city was john william finn born in,['John William Finn'],['john william finn'],['john william finn'],[],['john william finn']
814,who is the producer of straight shooter ,['Straight Shooter'],['straight shooter'],[],[],[]
815,what music is on the film amazing grace?,['Amazing Grace'],['film amazing grace'],[],[],['amazing grace']
816,What's an album from pete seeger,['Pete Seeger'],['pete seeger'],['pete seeger'],[],['pete seeger']
817,Where was summer glau's place of birth?,['Summer Glau'],['summer glau'],[],[],['summer glau']
818,who wrote the film the champ,['The Champ'],['the champ'],[],[],['the champ']
819,What is the country of origin of lightfields,['Lightfields'],['lightfields'],[],[],['lightfields']
820,What county contains presque isle,['Presque Isle'],['presque isle'],[],[],['presque isle']
821,what is josé luis grant's nationality ,['José Luis Grant'],['jose luis grant'],['josé luis'],[],['josÃ© luis grant']
822,which artist released the album secret,['Secret'],"['artist', 'album secret']",[],[],[]
823,What's a game published by banpresto,['Banpresto'],"[""what's"", 'banpresto']",['banpresto'],[],['banpresto']
824,Who was a football forward,['forward'],['football forward'],[],[],[]
825,What soccer position does yusuke kawakita play,['Yusuke Kawakita'],['yusuke kawakita'],['yusuke kawakita'],[],['yusuke kawakita']
826,where was david quinn born,['David Quinn'],['david quinn'],['david quinn'],[],['david quinn']
827,in which country was the the incredible 2-headed transplant movie produce,['The Incredible 2-Headed Transplant'],"['country', 'incredible 2-headed transplant movie produce']",[],[],[]
828,what are some names of male characters in the street fighter series?,['male'],['street fighter series'],[],[],[]
829,what is a type of musical film?,['musical film'],['musical film'],[],[],[]
830,Who are artists of country music?,['country music'],['country music'],[],[],[]
831,What nation is ferdinand columbus from?,['Ferdinand Columbus'],['ferdinand columbus'],['ferdinand columbus'],[],['ferdinand columbus']
832,What is maarty leunen's position,['Maarty Leunen'],['maarty leunen'],['maarty leunen'],[],['maarty leunen']
833,what is a film produced by paul brooks?,['Paul Brooks'],['paul brooks'],['paul brooks'],[],['paul brooks']
834,which country contains lake jasper,['Lake Jasper'],['lake jasper'],['jasper'],[],['lake jasper']
835,which political party has arab nationalism as its political ideology,['Arab nationalism'],['arab'],[],[],['arab']
836,what country is the amazonas in?,['Amazonas'],['amazonas'],[],[],['amazonas']
837,which retelling of a classic story was written by langston hughes?,['Langston Hughes'],['langston hughes'],['langston hughes'],[],['langston hughes']
838,what is a work by ivan okhlobystin,['Ivan Okhlobystin'],['ivan okhlobystin'],['ivan okhlobystin'],"['i', 'ok']",['ivan okhlobystin']
839,What is Tamara Rhodes gender?,['Tamara Rhodes'],['tamara rhodes gender'],['Tamara Rhodes'],['Tamara Rhodes'],['Tamara Rhodes']
840,who is the recording artist of the album let it shine?,['Let It Shine'],['let it shine'],['let it shine'],[],[]
841,what is francisco tárrega's profession,['Francisco Tárrega'],['francisco tarrega'],['francisco tárrega'],[],['francisco tÃ¡rrega']
842,where was abdollah nouri born,['Abdollah Nouri'],['abdollah nouri'],['abdollah nouri'],[],['abdollah nouri']
843,What language is blowing wild in?,['Blowing Wild'],['language'],[],[],[]
844,What's an album from howie dorough,['Howie Dorough'],['howie dorough'],['howie dorough'],[],['howie dorough']
845,Where was orest miller born?,['Orest Miller'],['orest miller'],['orest miller'],[],['orest miller']
846,Which country was the film the butcher shot in,['The Butcher'],['butcher'],[],[],[]
847,what is an example of an action role-playing game,['action role-playing game'],['action role-playing game'],[],[],[]
848,Where is berry kroeger from,['Berry Kroeger'],['berry kroeger'],[],[],['berry kroeger']
849,What is the originating country for the film thiruppu munai?,['Thiruppu Munai'],['film thiruppu munai'],['thiruppu munai'],[],['thiruppu munai']
850,what nationality is tomás mac giolla,['Tomás Mac Giolla'],['tomas mac giolla'],['tomás mac giolla'],['to'],['tomÃ¡s mac giolla']
851,What is rudy Árias' nationality?,['Rudy Árias'],"[""rudy arias' nationality""]","[""rudy Árias'""]",['Á'],['rudy Ã ģrias']
852,what genre is the album the papercut chronicles,['The Papercut Chronicles'],['the papercut chronicles'],[],[],['papercut']
853,What is john corrill's nationality?,['John Corrill'],['john corrill'],['john corrill'],[],['john corrill']
854,Who was born in Cuckfield?,['Cuckfield'],['cuckfield'],['Cuckfield'],['Cuckfield'],['Cuckfield']
855,what caused death of corrado mantoni,['Corrado Mantoni'],['corrado mantoni'],['corrado mantoni'],[],['corrado mantoni']
856,what American rock and pop singer was born in chicago,['Chicago'],"['chicago', 'american rock and pop singer']","['American', 'chicago']",['American'],"['American', 'chicago']"
857,Where in poland did marian lalewicz die,['Marian Lalewicz'],"['poland', 'marian lalewicz']","['poland', 'marian lalewicz']",['lew'],"['poland', 'marian lalewicz']"
858,what war was robert lawrence leopold involved in,['Robert Lawrence Leopold'],['robert lawrence leopold'],['robert lawrence leopold'],[],['robert lawrence leopold']
859,What is joey osbourne's gender?,['Joey Osbourne'],['joey osbourne'],['joey osbourne'],['o'],['joey osbourne']
860,What is the ideology behind the german free-minded party?,['German Free-minded Party'],['german free-minded party'],['german'],[],['german']
861,which country is souli from,['Souli'],['souli'],[],[],['souli']
862,What type of gameplay mode is maelstrom?,['Maelstrom'],"['gameplay mode', 'maelstrom']",[],[],[]
863,Where are the ashmore and cartier islands located?,['Ashmore and Cartier Islands'],['ashmore and cartier islands'],[],[],"['ashmore', 'cartier']"
864,what was robert mckinley born?,['Robert McKinley'],['robert mckinley'],['robert mckinley'],[],['robert mckinley']
865,what player plays as a goalkeeper in football,['goalkeeper'],"['player', 'football']",[],[],[]
866,what kind of movie is the strangers,['The Strangers'],['strangers'],[],[],['the strangers']
867,what is the gender of borko milenković,['Borko Milenković'],['borko milenkovic'],['borko milenković'],['b'],['borko milenkoviÄĩ']
868,What is kelly slater's gender.,['Kelly Slater'],['kelly slater'],['kelly slater'],[],['kelly slater']
869,is walter hampden from the united states or canada,['Walter Hampden'],"['walter hampden', 'united states or canada']","['united states', 'canada']",[],"['walter hampden', 'united states', 'canada']"
870,The power rangers dino thunder game was published by what American company?,['Power Rangers Dino Thunder'],"['american company', 'power rangers dino thunder game']",['American'],['American'],"['power rangers dino thunder', 'American']"
871,"What is the name of a city within cook county, illinois",['Cook County'],"['illinois', 'cook county']","['cook county', 'illinois']",[],"['cook county', 'illinois']"
872,what position does bonnie hollingsworth play?,['Bonnie Hollingsworth'],['bonnie hollingsworth'],['bonnie hollingsworth'],['ho'],['bonnie hollingsworth']
873,who directed tower of london (1939 film),['Tower of London'],['tower of london'],['tower of london'],[],['tower of london']
874,what country is chikara sakaguchi from,['Chikara Sakaguchi'],['chikara sakaguchi'],['chikara sakaguchi'],[],['chikara sakaguchi']
875,what position does jerametrius butler play?,['Jerametrius Butler'],['jerametrius butler'],['jerametrius butler'],[],['jerametrius butler']
876,who was born in hamburg,['Hamburg'],['hamburg'],['hamburg'],['hamburg'],['hamburg']
877,what label is dice raw signed to ,['Dice Raw'],['dice raw'],[],[],[]
878,what nationality is jerry zirsanga ,['Jerry Zirsanga'],['jerry zirsanga'],['jerry zirsanga'],[],['jerry zirsanga']
879,where is the las colonias department in ,['Las Colonias Department'],['las colonias'],[],[],['las colonias']
880,what city did robert bennett die,['Robert Bennett'],['robert bennett'],['robert bennett'],[],['robert bennett']
881,what country is georgi yumatov a citizen of,['Georgi Yumatov'],['georgi yumatov'],['georgi yumatov'],[],['georgi yumatov']
882,which asian language is the tv series my beloved spoken in?,['My Beloved'],"['my beloved', 'asian language']",[],[],['asian']
883,what city did john e. smith die,['John E. Smith'],['john e. smith'],['john e. smith'],[],['john e. smith']
884,Who was born in london?,['London'],['london'],['london'],['lo'],['london']
885,what kind of music does warbringer do?,['Warbringer'],['warbringer'],[],[],['warbringer']
886,alexandre bilodeau is a member of which gender?,['Alexandre Bilodeau'],"['which gender', 'alexandre bilodeau']",['alexandre bilodeau'],[],['alexandre bilodeau']
887,What is madeleine martin's profession?,['Madeleine Martin'],['madeleine martin'],['madeleine martin'],[],['madeleine martin']
888,what is shaikh ayaz's gender?,['Shaikh Ayaz'],['shaikh ayaz'],[],[],['ikh ayaz']
889,What's an album from nick lowe,['Nick Lowe'],['nick lowe'],['nick lowe'],[],['nick lowe']
890,What is the country of origin of haven,['Haven'],['haven'],[],[],[]
891,who is xeneizes by,['Xeneizes'],[],[],[],['xene']
892,what soccer position does ian dobson play,['Ian Dobson'],['ian dobson'],['ian dobson'],[],['ian dobson']
893,which gender is rayver cruz,['Rayver Cruz'],['rayver cruz'],['rayver cruz'],[],['rayver cruz']
894,What is the country of origin that the darling buds of may came from,['The Darling Buds of May'],['origin'],[],[],['may']
895,what county is williamsburg located in,['Williamsburg'],['williamsburg'],['williamsburg'],['williamsburg'],['williamsburg']
896,what is the language used for the show hex ,['Hex'],['show hex'],[],[],['hex']
897,What's a movie that leslie s. hiscott has directed,['Leslie S. Hiscott'],['leslie s. hiscott'],['leslie s. hiscott'],['his'],['leslie s. hiscott']
898,what types of movie is fatty's flirtation,"[""Fatty's Flirtation""]",['fatty flirtation'],['fatty'],[],[]
